label,logr_classes,logr_distances,gini_classes,gini_distances,permutation_classes,permutation_distances,shap_classes,shap_distances
knee-hold-bridge,"['knee-hold-bridge', 'hook-knee-two-hands', 'elbow-grip-seated', 'knee-hold-genie']","[2.454370864651958e-14, 3.0898570204723344e-14, 5.945743289844068e-14, 2.1049340042459944e-14]","['knee-hold-bridge', 'fireman-seat', 'elbow-grip-seated', 'chair-seated']","[7.008786008061156, 17.15853462120786, 17.637088102933294, 19.468167906797987]","['knee-hold-bridge', 'elbow-grip-seated', 'knee-hold-genie', 'fireman-seat']","[76.53775496294593, 100.58583299729622, 167.84158938047042, 207.92449600813745]","['knee-hold-bridge', 'fireman-seat', 'chair-seated', 'elbow-grip-seated']","[9.24212993504774, 25.32654926461266, 34.50265774992705, 45.7211690891501]"
chair-passe,"['chair-passe', 'fireman-half-pike', 'knee-hold-remi-sit-release', 'knee-hold-genie']","[9.27391431904875e-15, 7.276176491516683e-14, 6.298314507377745e-14, 5.4800757699701246e-14]","['chair-passe', 'knee-hold-remi-sit-release', 'fireman-half-pike', 'split-grip-tucked-spin']","[3.5128253208870444, 26.922016012459512, 22.207128994737413, 22.1238937782366]","['chair-passe', 'fireman-half-pike', 'strong-hold-corkscrew', 'split-grip-tucked-spin']","[31.63317337583188, 203.66313960200893, 148.4140824335105, 155.35431840875853]","['chair-passe', 'fireman-half-pike', 'fireman-knee-hold', 'strong-hold-corkscrew']","[7.13576041168463, 46.89334286562459, 37.3505199331204, 15.772806921149865]"
armpit-hold-front-split,"['armpit-hold-front-split', 'split-grip-inverted-pencil', 'forearm-grip-inverted-pencil', 'strong-hold-straddle']","[5.70413072569323e-14, 1.548319957330385e-14, 4.045833546938247e-14, 2.5233852985267443e-14]","['armpit-hold-front-split', 'forearm-grip-inverted-pencil', 'iguana-grip-pixie', 'superman-scissors']","[20.047696500105992, 5.7589739186326225, 5.2344903474655995, 5.115778551939358]","['armpit-hold-front-split', 'split-grip-straddle', 'strong-hold-straddle', 'chair-pike']","[161.68194588341458, 61.69455701333126, 50.0394161355383, 50.56426197801365]","['armpit-hold-front-split', 'split-grip-straddle', 'strong-hold-straddle', 'chair-pike']","[35.392394982229504, 13.625170446160066, 13.343542394097817, 11.49393025934829]"
split-grip-inverted-fang,"['split-grip-inverted-fang', 'armpit-hold-scorpion', 'strong-hold-inverted-split', 'leg-hang-needle']","[2.6995911842747908e-14, 1.3462500496456575e-14, 3.2581173747979005e-14, 2.9776537418966014e-14]","['split-grip-inverted-fang', 'armpit-hold-scorpion', 'strong-hold-inverted-split', 'strong-hold-fang']","[14.411628325905273, 5.776176798124725, 17.503881801061546, 8.462651945825371]","['split-grip-inverted-fang', 'armpit-hold-scorpion', 'strong-hold-fang', 'leg-hang-needle']","[77.52220742188638, 40.67028270772799, 105.18049119523677, 75.49333044440611]","['split-grip-inverted-fang', 'armpit-hold-scorpion', 'strong-hold-fang', 'knee-hook-front']","[21.910811453544152, 9.613329706261831, 27.390381683374272, 14.860758723334875]"
chair-pike,"['chair-pike', 'split-grip-front-split', 'reverse-grab-straddle', 'iguana-grip-pixie']","[5.062759326100956e-14, 2.940237680177925e-14, 2.7134246893020048e-14, 2.79432586119193e-14]","['chair-pike', 'split-grip-front-split', 'reverse-grab-straddle', 'strong-hold-inverted-straddle']","[22.95368917012309, 5.842796952592186, 5.734978151891933, 9.9837586035506]","['chair-pike', 'strong-hold-side-split', 'armpit-hold-front-split', 'iguana-grip-bow-and-arrow']","[159.69823043711204, 78.4461454581487, 61.02032678078459, 85.419229165688]","['chair-pike', 'shoulder-mount-split', 'strong-hold-side-split', 'split-grip-inverted-butterfly-extended']","[42.72107125737587, 12.952806358482064, 48.13462472943734, 14.03390153373132]"
knee-hold-genie,"['knee-hold-genie', 'knee-hold-remi-sit', 'strong-hold-inverted-tuck', 'knee-hold-remi-sit-release']","[2.7922274251367662e-14, 4.587743674701523e-14, 5.6216930744483645e-14, 5.601168054596575e-14]","['knee-hold-genie', 'chair-seated', 'knee-hold-remi-sit-release', 'knee-hold-remi-sit']","[7.196122800452671, 15.773120270062773, 18.93532569300308, 20.553653928451183]","['knee-hold-genie', 'knee-hold-remi-sit', 'strong-hold-inverted-tuck', 'chair-seated']","[83.23835049379763, 135.41072774813438, 124.20659494105591, 174.37499319181157]","['knee-hold-genie', 'strong-hold-inverted-tuck', 'crossed-knee-release', 'chair-seated']","[11.47786664554871, 29.12506117655155, 40.521973125411364, 43.52045909689153]"
bridge,"['bridge', 'elbow-grip-inverted-ayesha', 'reverse-grab-straddle', 'strong-hold-side-split']","[5.1270729467596986e-14, 1.3408471215877434e-14, 4.5301314181136547e-14, 2.9401403163744224e-14]","['bridge', 'split-grip-inverted-butterfly-extended', 'split-grip-pancake-split', 'knee-hold-marley-release']","[22.122717660495944, 5.789571373448989, 9.601073781018611, 1.9560453348425473]","['bridge', 'reverse-grab-straddle', 'split-grip-front-split', 'superman-scissors']","[132.00303820523388, 36.61392489140192, 105.1649824959891, 103.62262637157305]","['bridge', 'superman-scissors', 'reverse-grab-straddle', 'split-grip-front-split']","[34.66294133312575, 8.253624703684732, 19.542577204831193, 16.604177132401365]"
handstand-forearm-bow-and-arrow,"['handstand-forearm-bow-and-arrow', 'shoulder-mount-plank', 'shoulder-mount-hangman', 'shoulder-mount-pencil']","[6.049530064049534e-14, 9.396306709007396e-15, 3.379100857574416e-14, 2.938140346778505e-14]","['handstand-forearm-bow-and-arrow', 'shoulder-mount-kick', 'elbow-grip-straddle', 'shoulder-mount-hangman']","[23.856675547111564, 5.956893066987277, 19.58662033741399, 9.660134275962712]","['handstand-forearm-bow-and-arrow', 'shoulder-mount-plank', 'shoulder-mount-hangman', 'shoulder-mount-pencil']","[161.06895472449426, 43.510421080603436, 86.17869908405275, 116.6694103529677]","['handstand-forearm-bow-and-arrow', 'shoulder-mount-pencil', 'shoulder-mount-kick', 'elbow-grip-straddle']","[39.95153830399947, 8.447057164593465, 29.775425921250843, 20.398992205442617]"
superman-scissors,"['superman-scissors', 'knee-hold-cupid', 'one-hand-twisted-spin-rght', 'reverse-grab-fang']","[4.687254820207108e-14, 3.81674309461913e-14, 1.55228904840504e-14, 2.104931770667965e-14]","['superman-scissors', 'split-grip-straddle', 'strong-hold-straddle', 'cross-grip-straddle']","[19.773102532268275, 6.517720919659554, 4.110608167829562, 5.429570612094224]","['superman-scissors', 'flag-grip-straddle', 'reverse-grab-straddle', 'strong-hold-inverted-straddle']","[122.71972035366764, 122.02923978314877, 71.33768050588148, 70.5788024755251]","['superman-scissors', 'bridge', 'split-grip-straddle', 'thigh-hold-dragon-fly']","[31.73652439436607, 19.869456238514246, 17.582618772586883, 24.39483271341235]"
crossed-knee-stargazer,"['crossed-knee-stargazer', 'armpit-hold-passe', 'handstand-tucked', 'knee-hold-daredevil']","[2.3973796317458024e-14, 4.155695799221789e-14, 5.521644106046317e-14, 4.361403696044593e-14]","['crossed-knee-stargazer', 'armpit-hold-passe', 'stomach-hold-vertical-duchess', 'forearm-grip-stag']","[17.861093664523093, 16.88753637900271, 22.429162174056675, 10.735519683527162]","['crossed-knee-stargazer', 'armpit-hold-passe', 'knee-hook-back', 'split-grip-cupid']","[120.28789750820387, 101.81142496206958, 136.49150347413197, 140.53246466182586]","['crossed-knee-stargazer', 'stomach-hold-passe-spaceflight', 'strong-hold-fang', 'leg-hang-gemini-foot-hold']","[34.44345047579494, 26.14245647138635, 41.005003074113255, 32.34667274264287]"
shoulder-mount-pencil,"['shoulder-mount-pencil', 'handstand-forearm-bow-and-arrow', 'shoulder-mount', 'handstand-forearm-fang']","[4.5311995341488033e-14, 4.1878758691325326e-14, 2.635392300166492e-14, 3.111273809956675e-14]","['shoulder-mount-pencil', 'handstand-forearm-bow-and-arrow', 'shoulder-mount-plank-passe-hold', 'shoulder-mount']","[22.293287692896477, 15.705837021482164, 11.78315737240609, 12.314160402172337]","['shoulder-mount-pencil', 'handstand-forearm-bow-and-arrow', 'shoulder-mount-plank-passe-hold', 'shoulder-mount']","[178.28565428531942, 128.62442365656017, 101.35734887001459, 105.04726058502929]","['shoulder-mount-pencil', 'handstand-forearm-bow-and-arrow', 'shoulder-mount-plank-passe-hold', 'split-grip-backward-split']","[42.39676019504488, 20.13271663977576, 19.30744356086055, 16.726243544836468]"
forearm-grip-inverted-pencil,"['forearm-grip-inverted-pencil', 'flag-grip-straddle', 'iguana-grip-bow-and-arrow', 'strong-hold-inverted-straddle']","[3.940358660666429e-14, 2.2824837721955123e-14, 3.0500928896729007e-14, 1.8626618233633033e-14]","['forearm-grip-inverted-pencil', 'forearm-grip-pencil', 'pole-walk', 'superman-armpit-grip']","[16.181042913250085, 8.296986691858793, 7.630767981225724, 15.794358442238536]","['forearm-grip-inverted-pencil', 'knee-hold-cupid', 'handstand-pole', 'iguana-grip-bow-and-arrow']","[139.92045554765872, 65.9852873907362, 115.02941933089605, 73.38791969162835]","['forearm-grip-inverted-pencil', 'split-grip-inverted-d', 'superman-armpit-grip', 'handstand-pole']","[36.004766121455894, 11.008183340334154, 12.48578082100394, 13.62613812859925]"
split-grip-side-v,"['split-grip-side-v', 'stomach-hold-passe-spaceflight', 'armpit-hold-passe', 'split-grip-inverted-butterfly-extended']","[5.947756681613064e-14, 1.8373638152480568e-14, 9.923576282472978e-15, 2.4449579194937365e-14]","['split-grip-side-v', 'iguana-grip-bow-and-arrow', 'stomach-hold-passe-spaceflight', 'split-grip-backward-split']","[26.686579793312706, 9.187064300435532, 6.561708737584138, 6.701983885890284]","['split-grip-side-v', 'split-grip-inverted-butterfly-extended', 'shoulder-mount-split', 'strong-hold-inverted-straddle']","[188.1940646597193, 53.60994988144395, 197.0726575929649, 98.97693417781136]","['split-grip-side-v', 'iguana-grip-bow-and-arrow', 'handstand-split', 'strong-hold-side-split']","[49.20479894345577, 13.760549131629297, 31.581618634841114, 26.995691127297707]"
strong-hold-inverted-tuck,"['strong-hold-inverted-tuck', 'fireman-half-pike', 'knee-hold-genie', 'knee-hold-remi-sit-release']","[2.692297112038819e-14, 5.741393989501275e-14, 2.2690221116441553e-14, 4.983327365246862e-14]","['strong-hold-inverted-tuck', 'knee-hold-genie', 'fireman-seat', 'chair-seated']","[3.390590898074808, 24.075430229100878, 18.001890282573605, 17.742760518494975]","['strong-hold-inverted-tuck', 'fireman-half-pike', 'knee-hold-genie', 'knee-hold-marley']","[74.48256281741047, 156.3277767075666, 116.42640426652743, 174.7684642908556]","['strong-hold-inverted-tuck', 'knee-hold-genie', 'fireman-seat', 'fireman-half-pike']","[9.458369737501195, 18.697032205648235, 39.0060031124391, 34.77046226088589]"
elbow-grip-inverted-ayesha,"['elbow-grip-inverted-ayesha', 'shoulder-mount-jack-knife', 'reverse-grab-pencil', 'thigh-hold-release']","[5.703264220798363e-14, 4.7284695002845575e-14, 1.4743801292120554e-14, 1.4985943242975346e-14]","['elbow-grip-inverted-ayesha', 'fireman-piker', 'elbow-grip-pencil', 'reverse-grab-pencil']","[19.327631374578317, 23.45662778495058, 15.383052682749042, 11.11853752030191]","['elbow-grip-inverted-ayesha', 'shoulder-mount-jack-knife', 'reverse-grab-pencil', 'stomach-hold-inverted-pike']","[175.64928492799987, 179.4469011527967, 58.471556900198365, 45.793714781401704]","['elbow-grip-inverted-ayesha', 'stomach-hold-inverted-pike', 'fireman-piker', 'shoulder-mount-jack-knife']","[41.34445757887402, 47.84298256210171, 42.77705832573823, 26.184046971606843]"
