label,logr_classes,logr_distances,gini_classes,gini_distances,permutation_classes,permutation_distances,shap_classes,shap_distances
shoulder-mount-straddle,"['shoulder-mount-straddle', 'iguana-grip-pixie', 'superman-armpit-grip', 'handstand-pole']","[4.599716623648189e-14, 1.335528082792796e-14, 2.600421126752073e-14, 2.848417030049663e-14]","['shoulder-mount-straddle', 'split-grip-inverted-pencil', 'split-grip-inverted-d', 'thigh-hold-crescent-moon']","[17.509217715452042, 5.842044179561063, 14.15933088709339, 16.44933902725459]","['shoulder-mount-straddle', 'iguana-grip-pixie', 'flag-grip-straddle', 'superman-scissors']","[113.79086062633243, 68.90827698118082, 96.34432771079946, 133.74805093405266]","['shoulder-mount-straddle', 'split-grip-apprentice', 'iguana-grip-pixie', 'split-grip-tucked-passe']","[26.853188339669014, 15.925402993119144, 14.140855097021685, 29.743463868386385]"
leg-hang-scorpion,"['leg-hang-scorpion', 'leg-hang-gemini-foot-hold', 'strong-hold-inverted-split', 'split-grip-inverted-fang']","[3.050192214457989e-14, 3.8382752112818626e-14, 3.159640665675982e-14, 2.858376934052497e-14]","['leg-hang-scorpion', 'leg-hang-gemini-foot-hold', 'leg-hang-gemini', 'strong-hold-inverted-split']","[17.466858480754517, 13.639616244146296, 17.889735479442496, 15.030896621374623]","['leg-hang-scorpion', 'armpit-hold-dart', 'strong-hold-inverted-split', 'split-grip-backward-split']","[114.85864987019639, 91.96862015298002, 101.33672318452709, 113.37032625540547]","['leg-hang-scorpion', 'strong-hold-inverted-split', 'armpit-hold-dart', 'shoulder-mount']","[31.676573022642383, 19.360910509577735, 17.657828032956285, 25.04198744086498]"
strong-hold-corkscrew,"['strong-hold-corkscrew', 'fireman-seat', 'fireman-half-pike', 'knee-hold-remi-sit-release']","[9.442068163657e-15, 2.9548357112719145e-14, 4.0754643466138685e-14, 4.9443353557469206e-14]","['strong-hold-corkscrew', 'fireman-half-pike', 'split-grip-tucked-spin', 'knee-hold-remi-sit-release']","[3.929629824991636, 12.771204282986705, 23.210118152013745, 15.43441918944763]","['strong-hold-corkscrew', 'chair-passe', 'fireman-half-pike', 'split-grip-inverted-fang']","[35.33619029902613, 78.19756944756791, 141.09294661588115, 133.16822770925413]","['strong-hold-corkscrew', 'tuck-hold', 'chair-passe', 'leg-hold-inverted-crucifix']","[9.107031217593134, 20.475159178752214, 29.436986612590776, 37.687153438592375]"
strong-hold-straddle,"['strong-hold-straddle', 'cross-grip-straddle', 'wrist-sit-straddle', 'split-grip-straddle']","[5.043263350719746e-14, 1.5087829610117108e-14, 5.037264531074004e-14, 6.486385110936131e-15]","['strong-hold-straddle', 'cross-grip-straddle', 'split-grip-inverted-butterfly-extended', 'bridge']","[20.952747098034163, 6.595338859481098, 22.980904496125387, 11.529365209466524]","['strong-hold-straddle', 'cross-grip-straddle', 'wrist-sit-straddle', 'split-grip-pancake-split']","[159.1094127226208, 60.74891831040634, 174.9564841035462, 21.93413979716947]","['strong-hold-straddle', 'cross-grip-straddle', 'split-grip-pancake-split', 'wrist-sit-straddle']","[40.84527813750999, 14.413555312104736, 45.304079340052105, 26.19410725280402]"
handstand-forearm-attitude,"['handstand-forearm-attitude', 'handstand-butterfly', 'shoulder-mount-plank-passe-hold', 'reverse-grab-attitude']","[3.908062402200825e-14, 3.2916985143335964e-14, 3.077629506217361e-14, 1.9877731435444007e-14]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'crossed-knee-stargazer']","[22.893521260367447, 13.566832435575053, 11.187087955849922, 15.688412650345928]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'leg-hang-scorpion-hold']","[131.8227761642649, 88.64285589861689, 87.04677444789698, 116.53346395102133]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'leg-hang-scorpion-hold']","[35.01160505829944, 30.825467533150686, 25.916875088971103, 19.018508263084858]"
back-hold-allergra,"['back-hold-allergra', 'handstand-split', 'strong-hold-inverted-straddle', 'stomach-hold-passe-spaceflight']","[5.6383804616381194e-14, 1.2452050626834323e-14, 9.250815811742499e-15, 1.500566949492398e-14]","['back-hold-allergra', 'handstand-split', 'strong-hold-side-split', 'reverse-grab-straddle']","[25.854513243828176, 7.720236165248687, 4.884625655767002, 23.823202659876024]","['back-hold-allergra', 'stomach-hold-passe-spaceflight', 'knee-hold-marley-release', 'twisted-grip-inverted-straddle']","[147.525204845312, 96.70359283172415, 90.47283991423615, 68.99506287082792]","['back-hold-allergra', 'stomach-hold-passe-spaceflight', 'armpit-hold-passe', 'knee-hook-back']","[38.46740809497608, 25.982433589578307, 22.507672911801713, 11.16919363240902]"
armpit-hold-seated,"['armpit-hold-seated', 'fireman-seat', 'split-grip-inverted-butterfly', 'split-grip-side-spin']","[1.3085531169442637e-14, 4.9841260456092326e-14, 3.4169250438937774e-14, 4.7201317954005603e-14]","['armpit-hold-seated', 'iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'fireman-knee-hold']","[8.535854114305012, 16.90780541286494, 11.819771435250095, 18.174174757470343]","['armpit-hold-seated', 'armpit-hold-scorpion', 'thigh-hold-dragonfly-crossed', 'split-grip-inverted-fang']","[43.80930349171876, 141.1824585591885, 76.57661960576662, 157.9183836052117]","['armpit-hold-seated', 'thigh-hold-dragonfly-crossed', 'shoulder-mount-tuck', 'iguana-grip-fang']","[13.385361363851988, 32.76431090386701, 20.1396221248353, 19.944834943493593]"
thigh-hold-crescent-moon,"['thigh-hold-crescent-moon', 'elbow-grip-straddle', 'split-grip-inverted-d', 'shoulder-mount-princess-grip-straddle']","[5.247265175733898e-14, 2.0221243004060556e-14, 4.9922132849281616e-14, 2.8795561066010914e-14]","['thigh-hold-crescent-moon', 'split-grip-inverted-pencil', 'knee-hold-cupid', 'shoulder-mount-plank']","[19.584151758606396, 7.056065000105206, 6.006991540563399, 14.807184146208092]","['thigh-hold-crescent-moon', 'split-grip-inverted-d', 'shoulder-mount-princess-grip-straddle', 'knee-hold-cupid']","[164.1279175760225, 81.87826957785276, 34.28278993497618, 155.53052286809427]","['thigh-hold-crescent-moon', 'split-grip-inverted-pencil', 'shoulder-mount-princess-grip-straddle', 'superman']","[40.187561278362026, 15.818132603771991, 31.154612086424496, 26.383432996247183]"
iguana-grip-inverted-v,"['iguana-grip-inverted-v', 'wrist-sit-straddle', 'twisted-grip-inverted-straddle', 'split-grip-pancake-split']","[5.929746988859466e-14, 1.7163780129361293e-14, 5.021912542191678e-14, 5.6449055633600087e-14]","['iguana-grip-inverted-v', 'twisted-grip-inverted-straddle', 'wrist-sit-straddle', 'split-grip-pancake-split']","[23.734082037714888, 21.118076518494927, 14.658322961998566, 21.30733056782489]","['iguana-grip-inverted-v', 'wrist-sit-straddle', 'strong-hold-straddle', 'split-grip-pancake-split']","[176.33392624352996, 48.49815430091563, 72.48208438578328, 125.71803889651024]","['iguana-grip-inverted-v', 'wrist-sit-straddle', 'twisted-grip-inverted-straddle', 'thigh-hold-release']","[44.965386572590454, 11.061815235658207, 30.913199220506957, 9.263978530492425]"
iguana-grip-fang,"['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'knee-hold-one-knee-genie', 'knee-hold-marley']","[2.01466869469158e-14, 3.399203927375117e-14, 3.449921938502174e-14, 4.9264771476106305e-14]","['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'split-grip-stag', 'armpit-hold-seated']","[8.471477552206169, 13.53835752458218, 10.653844005501755, 16.91596967923691]","['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'knee-hold-one-knee-genie', 'split-grip-inverted-fang']","[69.13305530394143, 88.72285164552672, 93.2699650710183, 135.60237882988204]","['iguana-grip-fang', 'leg-hold-inverted-crucifix', 'thigh-hold-dragonfly-crossed', 'armpit-hold-seated']","[15.780875193334161, 21.28326323272788, 27.98358815911357, 23.5881349486529]"
pole-walk,"['pole-walk', 'split-grip-pencil', 'strong-hold-inverted-split', 'flag-grip-straddle']","[4.821640774477867e-14, 3.520714216608673e-14, 3.402727075484442e-14, 2.7710168198594055e-14]","['pole-walk', 'superman-armpit-grip', 'split-grip-pencil', 'forearm-grip-inverted-pencil']","[16.808872995070104, 11.690639335807559, 3.1244413052371955, 7.846623425450782]","['pole-walk', 'split-grip-pencil', 'superman-armpit-grip', 'superman-scissors']","[160.9372042650622, 142.50345254373613, 113.06290318786657, 64.51481964740294]","['pole-walk', 'split-grip-pencil', 'superman-armpit-grip', 'cross-grip-straddle']","[36.89867050861387, 33.39867551217468, 28.614450535158298, 9.842979579456884]"
split-grip-inverted-butterfly-extended,"['split-grip-inverted-butterfly-extended', 'knee-hold-cupid', 'knee-hold-marley-release', 'split-grip-pancake-split']","[5.26733968523346e-14, 1.2703864375308358e-14, 2.6747310622038364e-14, 6.94624484730669e-15]","['split-grip-inverted-butterfly-extended', 'split-grip-pancake-split', 'bridge', 'split-grip-straddle']","[21.526718923376635, 3.7648994516774983, 8.230336606028905, 1.3436856243652722]","['split-grip-inverted-butterfly-extended', 'split-grip-pancake-split', 'cross-grip-straddle', 'handstand-pole']","[160.8388418224077, 35.429232552285455, 79.6974150100903, 121.62861332827788]","['split-grip-inverted-butterfly-extended', 'split-grip-pancake-split', 'strong-hold-straddle', 'cross-grip-straddle']","[40.93534109285621, 7.841688076907553, 14.750178240275028, 30.58742013459663]"
fireman-knee-hold,"['fireman-knee-hold', 'stomach-hold-vertical-duchess', 'armpit-hold-seated', 'knee-hook-front']","[3.505628470224227e-14, 4.347088879188194e-14, 1.7427205081155334e-14, 2.5367473877148978e-14]","['fireman-knee-hold', 'thigh-hold-dragonfly-crossed', 'outside-knee-hook-inverted', 'handstand-tucked']","[7.704065508692514, 14.49248192676894, 15.195951946439953, 3.0198767372917223]","['fireman-knee-hold', 'armpit-hold-seated', 'knee-hold-marley', 'shoulder-mount-tuck']","[97.94457788326882, 126.05428492867327, 155.64806175123528, 157.8915392328831]","['fireman-knee-hold', 'shoulder-mount-tuck', 'stomach-hold-inverted-tuck', 'elbow-grip-fang']","[14.241162267061478, 29.39798477970026, 22.449762954510266, 36.22170499429873]"
armpit-hold-forward-pike,"['armpit-hold-forward-pike', 'reverse-grab-pencil', 'armpit-hold-front-split', 'split-grip-front-split']","[5.781170854050128e-14, 4.7375825317376895e-14, 3.156377065134554e-14, 1.6206710033428423e-14]","['armpit-hold-forward-pike', 'chair-pike', 'shoulder-mount-pencil', 'iguana-grip-pencil']","[22.892633663334287, 18.73891275247365, 5.299010814528973, 5.785965350615223]","['armpit-hold-forward-pike', 'shoulder-mount-princess-grip-straddle', 'shoulder-mount-pencil', 'shoulder-mount-kick']","[165.8272881447337, 153.10402372669049, 130.45562310252217, 79.87582041687807]","['armpit-hold-forward-pike', 'shoulder-mount-kick', 'elbow-grip-inverted-ayesha', 'shoulder-mount-pencil']","[40.14682107030502, 36.486644598437, 9.837695969079368, 10.2190926449925]"
elbow-grip-pencil,"['elbow-grip-pencil', 'split-grip-inverted-fang', 'handstand-onehand', 'fang-bracket-grip']","[2.45489746228026e-14, 3.6710333170416263e-14, 2.5720842584450122e-14, 2.6970095376782826e-14]","['elbow-grip-pencil', 'handstand-onehand', 'strong-hold-corkscrew', 'chair-passe']","[8.859834497986068, 17.212027167226474, 11.041426878916647, 12.151161331926325]","['elbow-grip-pencil', 'handstand-onehand', 'pole-walk', 'split-grip-inverted-fang']","[79.82799281116638, 103.5004809937339, 97.0437736303816, 79.8941045445513]","['elbow-grip-pencil', 'flag-grip-pencil', 'handstand-onehand', 'strong-hold-corkscrew']","[19.4451677878105, 27.756610318995687, 31.41816996228061, 27.478718685738663]"
back-hold-allergra-split,"['back-hold-allergra-split', 'leg-hang-scorpion-flatliner', 'strong-hold-side-split', 'ankle-grip-bow-and-arrow']","[4.6909172726359894e-14, 2.3537316785321965e-14, 2.2549747381004568e-14, 1.679474956529822e-14]","['back-hold-allergra-split', 'ankle-grip-bow-and-arrow', 'stomach-hold-front-split', 'leg-hang-needle']","[24.123083451558514, 8.438902388283951, 8.964063325166245, 17.4382541572599]","['back-hold-allergra-split', 'leg-hang-scorpion-flatliner', 'strong-hold-side-split', 'leg-hang-needle']","[160.6136863403964, 171.98739767921694, 84.55000222875745, 126.18050419975208]","['back-hold-allergra-split', 'shoulder-mount-split', 'leg-hang-needle', 'strong-hold-side-split']","[43.6926178288451, 15.465762780307251, 49.29098926499613, 32.071114457070294]"
baseball-back-support-grip-foward-pike,"['baseball-back-support-grip-foward-pike', 'split-grip-inverted-d', 'stomach-hold-inverted-pike', 'superman-armpit-grip']","[4.851642397991387e-14, 3.654145804390581e-14, 1.4010189016467998e-14, 1.6651720561898204e-14]","['baseball-back-support-grip-foward-pike', 'shoulder-mount-straddle', 'split-grip-inverted-d', 'thigh-hold-crescent-moon']","[18.015905887239636, 16.228950524454085, 16.15732525250851, 17.89747018550544]","['baseball-back-support-grip-foward-pike', 'split-grip-inverted-d', 'superman-armpit-grip', 'elbow-grip-straddle']","[155.47483527549247, 145.18736119321306, 41.175200058836765, 104.43506621981412]","['baseball-back-support-grip-foward-pike', 'shoulder-mount-plank', 'thigh-hold-crescent-moon', 'split-grip-inverted-d']","[36.249463463416454, 35.87231824736214, 8.524077697845359, 12.233320481788247]"
split-grip-front-split,"['split-grip-front-split', 'pole-walk', 'split-grip-pencil', 'leg-hang-needle']","[5.561224365576785e-14, 2.3049153991784898e-14, 3.9400591703878304e-14, 2.410991925249498e-14]","['split-grip-front-split', 'leg-hang-scorpion', 'leg-hang-scorpion-flatliner', 'leg-hang-needle']","[22.99429675669352, 9.71353427184089, 17.507149688130717, 18.02646222128152]","['split-grip-front-split', 'leg-hang-needle', 'iguana-grip-bow-and-arrow', 'split-grip-pencil']","[184.76460600041628, 73.25329021447197, 119.80884377993587, 97.71427182213405]","['split-grip-front-split', 'leg-hang-needle', 'leg-hang-scorpion-flatliner', 'strong-hold-inverted-straddle']","[44.27244568828201, 12.017472715423889, 30.215940360837916, 15.500396630044426]"
strong-hold-inverted-split,"['strong-hold-inverted-split', 'split-grip-inverted-fang', 'armpit-hold-scorpion', 'leg-hang-scorpion']","[3.025947594219187e-14, 3.739432664599249e-14, 3.5346181644949044e-14, 3.1822987955778e-14]","['strong-hold-inverted-split', 'split-grip-inverted-fang', 'leg-hang-needle', 'strong-hold-fang']","[15.893278379623744, 19.06916714258324, 7.638996610800283, 12.257498059317987]","['strong-hold-inverted-split', 'leg-hang-scorpion', 'armpit-hold-dart', 'strong-hold-inverted-straddle']","[106.43920314253889, 111.70989925279838, 110.17893847932316, 104.93284010850088]","['strong-hold-inverted-split', 'leg-hang-scorpion', 'armpit-hold-dart', 'shoulder-mount']","[29.535537073419782, 31.02316758958404, 18.491530836560926, 23.151320551443735]"
split-grip-cupid,"['split-grip-cupid', 'hook-knee-two-hands', 'hook-knee-one-hand', 'handstand-onehand']","[3.921384552209577e-14, 2.9461609782110195e-14, 2.1304134830847063e-14, 2.68350954589266e-14]","['split-grip-cupid', 'hook-knee-two-hands', 'reverse-grab-ballerina', 'knee-hook-front']","[14.038798961754278, 10.755994508238697, 9.357840230050172, 16.013380031568225]","['split-grip-cupid', 'hook-knee-two-hands', 'hook-knee-one-hand', 'reverse-grab-ballerina']","[115.09511083201296, 132.57650256688586, 84.7737005905787, 139.7868655132879]","['split-grip-cupid', 'hook-knee-two-hands', 'hook-knee-one-hand', 'reverse-grab-ballerina']","[20.95331816607565, 29.271163003746658, 22.469554075217225, 29.437110737241323]"
stomach-hold-vertical-duchess,"['stomach-hold-vertical-duchess', 'fireman-knee-hold', 'armpit-hold-seated', 'one-hand-twisted-spin-rght']","[3.657224696233297e-14, 3.565588476631361e-14, 1.4576873536638696e-14, 2.6777123214141835e-14]","['stomach-hold-vertical-duchess', 'crossed-knee-stargazer', 'armpit-hold-passe', 'knee-hold-genie-release']","[15.53345727597558, 11.314940997599287, 12.823530683060627, 8.919979201589578]","['stomach-hold-vertical-duchess', 'one-hand-twisted-spin-rght', 'armpit-hold-passe', 'back-hold-allergra']","[165.315746395792, 131.96449783888838, 46.64909575510809, 99.42408409394424]","['stomach-hold-vertical-duchess', 'iguana-grip-pixie', 'stomach-hold-duchess-passe', 'one-hand-twisted-spin-rght']","[40.36602678824745, 31.156850980071535, 24.324409365344195, 25.929994168718864]"
handstand-pole,"['handstand-pole', 'superman', 'crossed-knee-layback', 'thigh-hold-release']","[5.714243192360344e-14, 1.916086245550009e-14, 8.907273673703503e-15, 3.559018916225866e-14]","['handstand-pole', 'split-grip-inverted-pencil', 'thigh-hold-crescent-moon', 'elbow-grip-straddle']","[22.41866402857905, 6.284743041822331, 3.6345202253294775, 15.637198226259567]","['handstand-pole', 'split-grip-inverted-pencil', 'thigh-hold-crescent-moon', 'superman']","[178.13672208334913, 51.103417226559785, 45.11858126654472, 122.93453161700266]","['handstand-pole', 'split-grip-inverted-pencil', 'iguana-grip-pencil', 'superman']","[44.18135289739965, 9.499516013045012, 8.098938030102829, 48.209971950074866]"
leg-hang-needle,"['leg-hang-gemini-foot-hold', 'strong-hold-fang', 'handstand-butterfly', 'fang-bracket-grip']","[1.5736086998243568e-14, 2.6536459882789554e-14, 3.035623689832374e-14, 2.000224622025749e-14]","['shoulder-mount-lock', 'strong-hold-inverted-split', 'leg-hang-gemini-foot-hold', 'leg-hang-scorpion-flatliner']","[10.543048253476709, 8.10597966029009, 15.081356330468472, 12.653389571234754]","['strong-hold-fang', 'handstand-butterfly', 'split-grip-inverted-fang', 'flag-grip-straddle']","[60.42740451848997, 116.40539496570109, 86.87753485907969, 41.039830336464924]","['strong-hold-fang', 'split-grip-inverted-fang', 'leg-hang-gemini', 'flag-grip-straddle']","[17.686900074394327, 27.22155871270878, 22.049670900585834, 26.148637678603198]"
leg-hold-inverted-crucifix-release,"['leg-hold-inverted-crucifix-release', 'outside-knee-hook-jasmine', 'pole-walk', 'handstand-floor-handspring']","[4.1449411300138516e-14, 2.124268611157749e-14, 4.134595540025393e-14, 1.9431887930187242e-14]","['leg-hold-inverted-crucifix-release', 'handstand-onehand', 'one-hand-pencil', 'pole-walk']","[14.5157110403725, 14.156928862492775, 17.637095419807327, 11.464202734565463]","['leg-hold-inverted-crucifix-release', 'wrist-sit-straddle', 'thigh-hold-release', 'strong-hold-straddle']","[142.22198342565972, 90.20906495284024, 107.42457083457691, 126.49247501312132]","['leg-hold-inverted-crucifix-release', 'stomach-hold-inverted-pike', 'baseball-back-support-grip-foward-pike', 'shoulder-mount-plank']","[34.7628453533619, 25.172043178374047, 24.54972695172907, 8.232278966410671]"
leg-hold-crucifix,"['leg-hold-crucifix', 'flag-grip-pencil', 'one-hand-twisted-lateral-spin', 'outside-knee-hook-inverted']","[3.742830154441092e-14, 2.125387239064435e-14, 2.7880062300444436e-14, 3.50219396373636e-14]","['leg-hold-crucifix', 'outside-knee-hook-inverted', 'flag-grip-pencil', 'elbow-grip-pencil']","[13.216098559230682, 12.701854659547436, 10.054909235126727, 10.176789908762048]","['leg-hold-crucifix', 'flag-grip-pencil', 'one-hand-twisted-lateral-spin', 'handstand-onehand']","[110.55592551963649, 77.23730353665894, 64.09538482858039, 53.544060565655]","['leg-hold-crucifix', 'flag-grip-pencil', 'pole-walk', 'reverse-grab-attitude']","[23.256143483239246, 18.570283817237417, 13.767066698929282, 14.86905113915747]"
reverse-grab-straddle,"['reverse-grab-straddle', 'bridge', 'reverse-grab-fang', 'strong-hold-side-split']","[4.950085102788125e-14, 1.758969054908276e-14, 2.4486909032495746e-14, 2.3042592520694803e-14]","['reverse-grab-straddle', 'reverse-grab-fang', 'chair-pike', 'strong-hold-inverted-straddle']","[22.878500122492447, 4.120125331864158, 25.130247831824622, 8.35819125830776]","['reverse-grab-straddle', 'bridge', 'strong-hold-inverted-straddle', 'split-grip-front-split']","[135.34374956796717, 53.80635200817195, 97.31747635454207, 92.4244439562479]","['reverse-grab-straddle', 'split-grip-front-split', 'bridge', 'strong-hold-inverted-straddle']","[36.79987799344827, 11.340306336096099, 20.69667755145563, 20.043137837908226]"
elbow-grip-fang,"['elbow-grip-fang', 'knee-hook-back', 'iguana-grip-fang', 'knee-hold-marley-release']","[2.5421696791942752e-14, 4.654367834140381e-14, 3.7185146386551216e-14, 1.7931492829770306e-14]","['elbow-grip-fang', 'split-grip-inverted-butterfly', 'knee-hook-back', 'handstand-bridged']","[11.376918611446946, 15.93394931554938, 11.57528456631827, 12.413643999589809]","['elbow-grip-fang', 'fang-bracket-grip', 'reverse-grab-straddle', 'knee-hook-back']","[92.1315084039071, 129.4761674652647, 83.17017956392509, 75.69636735896806]","['elbow-grip-fang', 'reverse-grab-straddle', 'split-grip-inverted-butterfly', 'leg-hang-scorpion-hold']","[22.80416295721487, 27.19086083530008, 23.668587437242017, 20.4612413887853]"
outside-knee-hook-jasmine,"['outside-knee-hook-jasmine', 'split-grip-tucked-passe', 'knee-hold-remi-sit', 'split-grip-apprentice']","[3.3339807509223286e-14, 2.931444000987266e-14, 3.994082173031423e-14, 2.0218433469019737e-14]","['outside-knee-hook-jasmine', 'knee-hold-bridge', 'split-grip-side-spin', 'tuck-hold']","[8.46356820138921, 12.026162632329742, 19.426197098289137, 15.471517556905695]","['outside-knee-hook-jasmine', 'handstand-onehand', 'split-grip-tucked-passe', 'fireman-hollywood']","[109.92290952863048, 109.37897182712125, 85.45323381649915, 118.00608067923311]","['outside-knee-hook-jasmine', 'split-grip-side-spin', 'handstand-onehand', 'iguana-grip-fang']","[17.491908897764272, 22.756247554731804, 29.472353989971964, 26.549783881166174]"
strong-hold-side-split,"['strong-hold-side-split', 'reverse-grab-straddle', 'bridge', 'reverse-grab-fang']","[5.183547426328041e-14, 3.724663517238989e-14, 5.120243059745927e-14, 2.006914570432413e-14]","['strong-hold-side-split', 'strong-hold-inverted-straddle', 'reverse-grab-straddle', 'handstand-floor-handspring']","[24.84139373315029, 14.022936329420304, 11.83020141418629, 10.059228246201139]","['strong-hold-side-split', 'stomach-hold-front-split', 'chair-pike', 'split-grip-pancake-split']","[164.71205198572392, 131.00976731686535, 184.3477454473659, 54.194121077725164]","['strong-hold-side-split', 'strong-hold-inverted-straddle', 'shoulder-mount-split', 'handstand-split']","[44.90403986059713, 33.43396173829174, 19.804498520830677, 36.39662353862903]"
twisted-grip-inverted-straddle,"['twisted-grip-inverted-straddle', 'split-grip-pancake-split', 'knee-hold-marley-release', 'cross-grip-straddle']","[5.781182300905717e-14, 4.427389356952984e-14, 1.4360910531600633e-14, 3.348860027307999e-14]","['twisted-grip-inverted-straddle', 'iguana-grip-inverted-v', 'bridge', 'split-grip-inverted-d']","[23.442030728150836, 16.63795395019348, 15.041292609457068, 6.761437325053627]","['twisted-grip-inverted-straddle', 'knee-hold-marley-release', 'split-grip-tucked-passe', 'bridge']","[138.1440479807545, 104.33851002205256, 143.10453872350593, 99.9459518331376]","['twisted-grip-inverted-straddle', 'knee-hold-marley-release', 'handstand-bridged', 'bridge']","[34.47238943680666, 24.95036105274577, 29.76497370564762, 20.702467587140124]"
knee-hold-marley,"['knee-hold-marley', 'forearm-grip-stag', 'knee-hold-remi-sit-release', 'split-grip-inverted-butterfly']","[2.65518988528048e-14, 5.5327051095383214e-14, 2.1728520125935292e-14, 2.5068329680309017e-14]","['knee-hold-marley', 'fireman-seat', 'elbow-grip-fang', 'handstand-forearm-fang']","[5.651048089341878, 19.6357139080881, 17.55274836163688, 17.715348718071755]","['knee-hold-marley', 'strong-hold-inverted-tuck', 'elbow-grip-fang', 'split-grip-inverted-butterfly']","[71.81017989686268, 175.2471030971921, 117.96259330171134, 53.694581184850975]","['knee-hold-marley', 'thigh-hold-dragonfly-crossed', 'iguana-grip-fang', 'knee-hold-bridge']","[9.518215402296049, 41.76738084442844, 26.399676290338256, 23.59990257123187]"
handstand-butterfly,"['handstand-butterfly', 'handstand-forearm-attitude', 'reverse-grab-attitude', 'stomach-hold-passe-spaceflight']","[3.9110955565085744e-14, 2.346364780024029e-14, 3.2334812007881394e-14, 2.8630006179142757e-14]","['handstand-butterfly', 'handstand-forearm-attitude', 'reverse-grab-attitude', 'stomach-hold-passe-spaceflight']","[22.85169471877242, 10.680195661334672, 13.100973443039514, 15.032078333895857]","['handstand-butterfly', 'handstand-forearm-attitude', 'reverse-grab-attitude', 'leg-hang-gemini-foot-hold']","[137.7949521990956, 89.14432299790965, 104.09749757469551, 109.76885997022057]","['handstand-butterfly', 'handstand-forearm-attitude', 'reverse-grab-attitude', 'leg-hang-needle']","[34.33285065137857, 39.937757569602, 24.823124939819273, 17.55414341023553]"
split-grip-inverted-butterfly,"['split-grip-inverted-butterfly', 'split-grip-apprentice', 'armpit-hold-seated', 'knee-hold-marley']","[3.24557641830215e-14, 3.2550670578476375e-14, 1.1643602848324959e-14, 2.2084272456735024e-14]","['split-grip-inverted-butterfly', 'shoulder-mount-tuck', 'split-grip-apprentice', 'split-grip-side-spin']","[10.788640166162159, 13.108689085117277, 7.793166469945618, 17.383440365623642]","['split-grip-inverted-butterfly', 'armpit-hold-seated', 'knee-hold-marley', 'shoulder-mount-tuck']","[93.24558296852261, 92.31732334692197, 58.18465172004579, 144.4958755520678]","['split-grip-inverted-butterfly', 'shoulder-mount-tuck', 'thigh-hold-dragonfly-crossed', 'iguana-grip-fang']","[15.850152861766649, 20.150214469570418, 14.51787364466781, 21.233906520550946]"
knee-hold-daredevil,"['knee-hold-daredevil', 'knee-hold-one-knee-genie', 'iguana-grip-fang', 'thigh-hold-dragonfly-crossed']","[2.452011048571674e-14, 5.522339410481035e-14, 3.67053433231373e-14, 1.9501302797324197e-14]","['knee-hold-daredevil', 'knee-hold-one-knee-genie', 'leg-hang-gemini', 'knee-hold-marley']","[12.035057810465748, 18.397491227507896, 16.62610798461579, 12.201181061990523]","['knee-hold-daredevil', 'knee-hold-one-knee-genie', 'knee-hold-marley', 'split-grip-stag']","[83.72263952719321, 188.02439847617347, 183.23186658837457, 174.70727435509073]","['knee-hold-daredevil', 'forearm-grip-stag', 'knee-hold-one-knee-genie', 'split-grip-stag']","[20.74480895202481, 46.562708500260506, 34.6669275781397, 14.45146723314062]"
reverse-grab-attitude,"['reverse-grab-attitude', 'handstand-butterfly', 'handstand-forearm-attitude', 'stomach-hold-passe-spaceflight']","[3.0133604121010097e-14, 4.487518404440859e-14, 2.3173904748500498e-14, 2.691951588575283e-14]","['reverse-grab-attitude', 'bridge', 'handstand-forearm-attitude', 'shoulder-mount-plank-passe-hold']","[18.84592613746965, 13.856147497489165, 10.984382447292502, 9.064446999461568]","['reverse-grab-attitude', 'handstand-forearm-attitude', 'shoulder-mount-attitude', 'handstand-butterfly']","[103.39970916421957, 152.43575835014542, 66.84217662022954, 166.8754542878876]","['reverse-grab-attitude', 'leg-hang-gemini-foot-hold', 'leg-hang-gemini', 'knee-hold-genie-release']","[27.96060537174167, 35.16309468921173, 25.614369816497252, 35.045443498634306]"
split-grip-side-spin,"['split-grip-side-spin', 'split-grip-inverted-butterfly', 'thigh-hold-dragonfly-crossed', 'leg-hang-scorpion-hold']","[1.6117247090258362e-14, 4.8215338589840294e-14, 1.9027623116380265e-14, 3.670257361120601e-14]","['split-grip-side-spin', 'elbow-grip-fang', 'split-grip-inverted-butterfly', 'handstand-forearm-fang']","[8.580467429546207, 19.393094654178572, 10.801556087400312, 7.146587630651233]","['split-grip-side-spin', 'leg-hang-scorpion-hold', 'hook-knee-one-hand', 'split-grip-inverted-butterfly']","[82.12469680031379, 110.97086544873171, 64.2078253440406, 61.27179921565639]","['split-grip-side-spin', 'leg-hang-scorpion-hold', 'outside-knee-hook-jasmine', 'fang-bracket-grip']","[20.67122508037771, 27.843828915123, 15.06888798204423, 21.41462267722808]"
